n		def1		def2
777		-29.3689832233		-28.8202260913
778		-29.4961439867		-28.7000329549
779		-29.6543681165		-28.6345413960
780		-29.8417886707		-28.6206310406
781		-30.0566741752		-28.6554014842
782		-30.2974173792		-28.7361543300
783		-29.4822711851		-31.3024998584
784		-29.3297843379		-30.6995689513
785		-29.2252876361		-30.1792815527
786		-29.1656574350		-29.7364930154
787		-29.1480130118		-29.3664493876
788		-29.1696949854		-29.0647531613
789		-29.2282458903		-28.8273324115
790		-29.3213926637		-28.6504129519
791		-29.4470308354		-28.5304931745
792		-29.6032102364		-28.4643212856
793		-29.7881220628		-28.4488746826
794		-30.0000871531		-28.4813412474
795		-29.4466737074		-31.1182686160
796		-29.2983609332		-30.5255344126
797		-29.1969295096		-30.0135214213
798		-29.1393728203		-29.5772776431
799		-29.1229150503		-29.2122222867
800		-29.1449909421		-28.9141136366
801		-29.2032275464		-28.6790200629
802		-29.2954277480		-28.5032938269
803		-29.4195553729		-28.3835473823
804		-29.5737217081		-28.3166319043
805		-29.7561732853		-28.2996178146
806		-29.4321048924		-30.9574832350
807		-29.2877380752		-30.3744253498
808		-29.1891942493		-29.8702541041
809		-29.1335772891		-29.4401993777
810		-29.1182105600		-29.0798440735
811		-29.1406179070		-28.7850939406
812		-29.1985064925		-28.5521503107
813		-29.2897512823		-28.3774854310
814		-29.4123810029		-28.2578201188
815		-29.5645654149		-28.1901034907
816		-29.4372741813		-30.8187222980
817		-29.2966405539		-30.2448540264
818		-29.2008187373		-29.7481198777
819		-29.1470170355		-29.3239216268
820		-29.1326526766		-28.9679970820
821		-29.1553339392		-28.6763917138
822		-29.2128439953		-28.4454329877
823		-29.3031262863		-28.2717071127
824		-29.4242712688		-28.1520379499
825		-29.4609868004		-30.7006689785
826		-29.3238877194		-30.1355346723
827		-29.2306334548		-29.6458588199
828		-29.1785311135		-29.2272058229
829		-29.1650868423		-28.8754602247
830		-29.1879890061		-28.5868000088
831		-29.2450929625		-28.3576724103
832		-29.3344072623		-28.1847719763
833		-29.5021355034		-30.6021020769
834		-29.3683853371		-30.0452747578
835		-29.2775544248		-29.5623022771
836		-29.2270434458		-29.1489030478
837		-29.2144428633		-28.8011007438
838		-29.2375170769		-28.5151991432
839		-29.2941900594		-28.2877593105
840		-29.5596931195		-30.5218879285
841		-29.4291182366		-29.9729671148
842		-29.3405759392		-29.4963651597
843		-29.2915556110		-29.0879464700
844		-29.2797277425		-28.7438667631
845		-29.3029289857		-28.4605493418
846		-29.6327058195		-30.4589730881
847		-29.5051436691		-29.9175828132
848		-29.4187639871		-29.4470389758
849		-29.3711403260		-29.0433445057
850		-29.3600192008		-28.7027805511
851		-29.7202870248		-30.4123777084
852		-29.5955852967		-29.8781647117
853		-29.5112503079		-29.4133855230
854		-29.4649355469		-29.0141746258
855		-29.8216118882		-30.3811895391
856		-29.6996277477		-29.8538216125
857		-29.6172270026		-29.3945311707
858		-29.9359122883		-30.3645584812
859		-29.8165116765		-29.8437229557
860		-30.0624722850		-30.3616916399
