n		def1		def2
185		-53.6629887411		-54.9756648416
186		-54.3571745538		-55.7875737047
187		-55.0610606704		-56.6202772331
188		-55.7739179445		-57.4724263681
189		-56.4950773274		-58.3427759655
190		-57.2239244023		-59.2301756793
191		-57.9598944667		-60.1335617396
192		-58.7024681025		-61.0519495278
193		-59.4511671798		-61.9844268639
194		-60.2055512490		-62.9301479297
195		-43.2102348944		-49.9433993939
196		-42.8056941921		-48.7598173758
197		-42.5091798443		-47.7631491175
198		-42.3098596722		-46.9355508962
199		-42.1981415342		-46.2611737431
200		-42.1655125724		-45.7259082780
201		-42.2044018350		-45.3171663393
202		-42.3080624997		-45.0236935020
203		-42.4704705909		-44.8354076165
204		-42.6862376296		-44.7432593501
205		-42.9505350870		-44.7391113934
206		-43.2590288753		-44.8156335540
207		-43.6078223972		-44.9662114134
208		-43.9934069147		-45.1848665998
209		-44.4126181987		-45.4661870335
210		-44.8625985769		-45.8052657628
211		-45.3407636396		-46.1976472135
212		-45.8447729701		-46.6392798573
213		-46.3725043633		-47.1264744474
214		-46.9220310728		-47.6558670960
215		-47.4916016953		-48.2243865718
216		-48.0796223537		-48.8292252818
217		-48.6846408904		-49.4678134795
218		-49.3053328202		-50.1377962997
219		-49.9404888272		-50.8370132789
220		-50.5890036188		-51.5634800620
221		-51.2498659748		-52.3153720375
222		-51.9221498498		-53.0910096755
223		-52.6050064069		-53.8888453732
224		-53.2976568758		-54.7074516353
225		-53.9993861398		-55.5455104402
226		-54.7095369723		-56.4018036596
227		-55.4275048486		-57.2752044168
228		-56.1527332705		-58.1646692813
229		-56.8847095492		-59.0692312111
230		-57.6229609949		-59.9879931620
231		-41.7247758631		-48.1639082561
232		-41.3421838737		-47.0293803633
233		-41.0625584349		-46.0729734028
234		-40.8757960809		-45.2780446216
235		-40.7729273349		-44.6297753632
236		-40.7459725102		-44.1149421870
237		-40.7878180856		-43.7217203730
238		-40.8921103932		-43.4395147063
239		-41.0531639251		-43.2588133223
240		-41.2658820273		-43.1710611139
241		-41.5256881243		-43.1685497853
242		-41.8284659215		-43.2443221175
243		-42.1705072895		-43.3920884030
244		-42.5484667338		-43.6061533286
245		-42.9593215313		-43.8813518569
246		-43.4003367518		-44.2129928755
247		-43.8690345031		-44.5968095693
248		-44.3631668358		-45.0289156263
249		-44.8806918279		-45.5057665162
250		-45.4197524351		-46.0241251897
251		-45.9786577561		-46.5810316403
252		-46.5558664074		-47.1737758450
253		-47.1499717462		-47.7998736692
254		-47.7596887140		-48.4570453758
255		-48.3838421071		-49.1431964267
256		-49.0213561006		-49.8564003057
257		-49.6712448812		-50.5948831272
258		-50.3326042574		-51.3570098248
259		-51.0046041359		-52.1412717403
260		-51.6864817658		-52.9462754564
261		-52.3775356639		-53.7707327344
262		-53.0771201459		-54.6134514356
263		-53.7846403971		-55.4733273212
264		-54.4995480241		-56.3493366356
265		-55.2213370357		-57.2405293904
266		-40.3753799098		-46.5331474359
267		-40.0129495918		-45.4438380851
268		-39.7488343489		-44.5245665862
269		-39.5735902536		-43.7597770921
270		-39.4788130205		-43.1355860336
271		-39.4570082786		-42.6395762147
272		-39.5014800114		-42.2606195053
273		-39.6062343375		-41.9887237033
274		-39.7658962854		-41.8148998963
275		-39.9756376159		-41.7310472646
276		-40.2311140623		-41.7298527730
277		-40.5284106257		-41.8047036088
278		-40.8639937791		-41.9496105655
279		-41.2346696143		-42.1591408499
280		-41.6375471119		-42.4283590251
281		-42.0700058419		-42.7527749955
282		-42.5296675033		-43.1282981007
283		-43.0143707979		-43.5511965234
284		-43.5221492080		-44.0180613275
285		-44.0512113062		-44.5257745416
286		-44.5999232800		-45.0714807836
287		-45.1667933949		-45.6525619895
288		-45.7504581607		-46.2666148719
289		-46.3496699935		-46.9114307798
290		-46.9632861957		-47.5849776772
291		-47.5902590996		-48.2853839935
292		-48.2296272378		-49.0109241296
293		-48.8805074237		-49.7600054327
294		-49.5420876384		-50.5311564736
295		-50.2136206333		-51.3230164835
296		-50.8944181702		-52.1343258230
297		-51.5838458274		-52.9639173702
298		-52.2813183121		-53.8107087325
299		-52.9862952242		-54.6736951920
300		-39.1497258063		-45.0377604191
301		-38.8058486574		-43.9902094844
302		-38.5560002101		-43.1052479870
303		-38.3913350945		-42.3683064366
304		-38.3039633877		-41.7663521471
305		-38.2868335801		-41.2877034832
306		-38.3336316344		-40.9218694403
307		-38.4386936779		-40.6594107024
308		-38.5969302799		-40.4918189744
309		-38.8037606070		-40.4114119098
310		-39.0550550251		-40.4112413886
311		-39.3470849455		-40.4850132578
312		-39.6764789019		-40.6270169406
313		-40.0401839994		-40.8320635638
314		-40.4354320093		-41.0954314601
315		-40.8597094884		-41.4128180659
316		-41.3107313961		-41.7802973835
317		-41.7864177554		-42.1942822929
318		-42.2848729707		-42.6514910981
319		-42.8043674675		-43.1489177831
320		-43.3433213681		-43.6838055186
321		-43.9002899511		-44.2536230279
322		-44.4739506835		-44.8560434682
323		-45.0630916340		-45.4889255319
324		-45.6666011086		-46.1502965077
