       pos                  sx                  sy                  sxb                  syb
      371.6773972603       24.9862459961        7.4946080407       -0.0275935516       -0.0183823779
      374.6616438356       24.9862967047        7.4946339441       -0.0287089788       -0.0185377734
      377.6458904110       24.9863467737        7.4946595012       -0.0297832492       -0.0186873260
      380.6301369863       24.9863961024        7.4946846624       -0.0308177361       -0.0188312851
      383.6143835616       24.9864445955        7.4947093812       -0.0318137466       -0.0189698923
      386.5986301370       24.9864921620        7.4947336137       -0.0327725238       -0.0191033817
      389.5828767123       24.9865387136        7.4947573179       -0.0336952489       -0.0192319795
      392.5671232877       24.9865841637        7.4947804526       -0.0345830420       -0.0193559044
      395.5513698630       24.9866284261        7.4948029768       -0.0354369631       -0.0194753681
      398.5356164384       24.9866714125        7.4948248487       -0.0362580122       -0.0195905753
      401.5198630137       24.9867130311        7.4948460245       -0.0370471282       -0.0197017246
      404.5041095890       24.9867531828        7.4948664567       -0.0378051872       -0.0198090097
      407.4883561644       24.9867917573        7.4948860925       -0.0385329998       -0.0199126194
      410.4726027397       24.9868286267        7.4949048719       -0.0392313068       -0.0200127374
      413.4568493151       24.9868636374        7.4949227243       -0.0399007735       -0.0201095405
      416.4410958904       24.9868965985        7.4949395656       -0.0405419819       -0.0202031922
      419.4253424658       24.9869272673        7.4949552941       -0.0411554207       -0.0202938317
      422.4095890411       24.9869553296        7.4949697858       -0.0417414726       -0.0203815530
      425.3938356164       24.9869803769        7.4949828897       -0.0423003981       -0.0204663705
      428.3780821918       24.9870018784        7.4949944221       -0.0428323161       -0.0205481654
      431.3623287671       24.9870191503        7.4950041626       -0.0433371792       -0.0206266049
      434.3465753425       24.9870313238        7.4950118502       -0.0438147457       -0.0207010263
      437.3308219178       24.9870373171        7.4950171841       -0.0442645458       -0.0207702755
      440.3150684932       24.9870358151        7.4950198276       -0.0446858449       -0.0208324882
      443.2993150685       24.9870252703        7.4950194224       -0.0450776035       -0.0208848044
      446.2835616438       24.9870039338        7.4950156124       -0.0454384378       -0.0209230037
      449.2678082192       24.9869699414        7.4950080873       -0.0457665853       -0.0209410583
      452.2520547945       24.9869214717        7.4949966462       -0.0460598827       -0.0209305998
      455.2363013699       24.9868570176        7.4949812963       -0.0463157685       -0.0208803130
      458.2205479452       24.9867757993        7.4949623853       -0.0465313252       -0.0207752808
      461.2047945205       24.9866783803        7.4949407881       -0.0467033857       -0.0205963296
      464.1890410959       24.9865675238        7.4949181458       -0.0468287333       -0.0203194558
      467.1732876712       24.9864493703        7.4948971703       -0.0469044373       -0.0199154533
      470.1575342466       24.9863349759        7.4948820233       -0.0469283759       -0.0193499184
      473.1417808219       24.9862422988        7.4948787324       -0.0469000137       -0.0185838710
      476.1260273973       24.9861986585        7.4948957138       -0.0468215124       -0.0175753138
      479.1102739726       24.9862437226        7.4949441448       -0.0466992743       -0.0162821331
      482.0945205479       24.9864330270        7.4950385541       -0.0465460290       -0.0146668565
      485.0787671233       24.9868419567        7.4951964053       -0.0463835990       -0.0127038486
      488.0630136986       24.9875703348        7.4954385311       -0.0462464911       -0.0103896497
      491.0472602740       24.9887472953        7.4957836804       -0.0461865060       -0.0077570555
      494.0315068493       24.9905382388        7.4962486310       -0.0462765711       -0.0048956522
      497.0157534247       24.9931629981        7.4967716625       -0.0463911058       -0.0021984152
      500.0000000000       24.9947155645        7.4970298606       -0.0464125814       -0.0009735521
