       pos                  sx                  sy                  sxb                  syb
      244.7668955249       24.3212582757       15.3622320934       11.6097202914        3.4802850755
      247.7520476633       24.3331726893       15.2006565361       11.5122767533        3.4512624014
      250.7371998018       24.3453158454       15.0452206701       11.4026088202        3.4185616740
      253.7223519402       24.3576706541       14.8957472334       11.2817268763        3.3824867958
      256.7075040787       24.3702204718       14.7520669299       11.1505908475        3.3433264218
      259.6926562171       24.3829488617       14.6140176030       11.0101135787        3.3013549868
      262.6778083556       24.3958394187       14.4814434799       10.8611637440        3.2568335929
      265.6629604940       24.4088756429       14.3541944799       10.7045683542        3.2100107731
      268.6481126325       24.4220408590       14.2321255873       10.5411149225        3.1611231524
      271.6332647709       24.4353181725       14.1150962829       10.3715533401        3.1103960196
      274.6184169094       24.4486904590       14.0029700356       10.1965975086        3.0580438254
      277.6035690478       24.4621403782       13.8956138475       10.0169267700        3.0042706191
      280.5887211862       24.4756504099       13.7928978536        9.8331871701        2.9492704333
      283.5738733247       24.4892029059       13.6946949696        9.6459925864        2.8932276284
      286.5590254631       24.5027801539       13.6008805886        9.4559257467        2.8363172025
      289.5441776016       24.5163644501       13.5113323200        9.2635391622        2.7787050753
      292.5293297400       24.5299381773       13.4259297703        9.0693559936        2.7205483516
      295.5144818785       24.5434838841       13.3445543614        8.8738708669        2.6619955683
      298.4996340169       24.5569843662       13.2670891831        8.6775506528        2.6031869308
      301.4847861554       24.5704227442       13.1934188768        8.4808352188        2.5442545405
      304.4699382938       24.5837825383       13.1234295477        8.2841381664        2.4853226172
      307.4550904323       24.5970477394       13.0570087017        8.0878475560        2.4265077176
      310.4402425707       24.6102028729       12.9940452050        7.8923266287        2.3679189530
      313.4253947092       24.6232330577       12.9344292622        7.6979145266        2.3096582056
      316.4105468476       24.6361240574       12.8780524117        7.5049270147        2.2518203453
      319.3956989860       24.6488623254       12.8248075348        7.3136572067        2.1944934483
      322.3808511245       24.6614350420       12.7745888772        7.1243762955        2.1377590153
      325.3660032629       24.6738301453       12.7272920788        6.9373342874        2.0816921924
      328.3511554014       24.6860363549       12.6828142131        6.7527607415        2.0263619927
      331.3363075398       24.6980431891       12.6410538299        6.5708655115        1.9718315181
      334.3214596783       24.7098409760       12.6019110045        6.3918394910        1.9181581831
      337.3066118167       24.7214208584       12.5652873880        6.2158553581        1.8653939376
      340.2917639552       24.7327747941       12.5310862593        6.0430683208        1.8135854904
      343.2769160936       24.7438955501       12.4992125779        5.8736168590        1.7627745311
      346.2620682321       24.7547766935       12.4695730352        5.7076234631        1.7129979515
      349.2472203705       24.7654125778       12.4420761045        5.5451953663        1.6642880650
      352.2323725090       24.7757983257       12.4166320889        5.3864252700        1.6166728240
      355.2175246474       24.7859298087       12.3931531655        5.2313920597        1.5701760339
      358.2026767859       24.7958036246       12.3715534271        5.0801615110        1.5248175651
      361.1878289243       24.8054170720       12.3517489193        4.9327869826        1.4806135602
      364.1729810627       24.8147681234       12.3336576740        4.7893100967        1.4375766382
      367.1581332012       24.8238553971       12.3171997386        4.6497614051        1.3957160939
      370.1432853396       24.8326781270       12.3022971999        4.5141610388        1.3550380928
      373.1284374781       24.8412361326       12.2888742049        4.3825193424        1.3155458608
      376.1135896165       24.8495297876       12.2768569755        4.2548374893        1.2772398693
      379.0987417550       24.8575599888       12.2661738200        4.1311080814        1.2401180142
      382.0838938934       24.8653281246       12.2567551391        4.0113157275        1.2041757900
      385.0690460319       24.8728360437       12.2485334285        3.8954376048        1.1694064579
      388.0541981703       24.8800860237       12.2414432760        3.7834440000        1.1358012079
      391.0393503088       24.8870807413       12.2354213563        3.6752988306        1.1033493154
      394.0245024472       24.8938232413       12.2304064202        3.5709601475        1.0720382918
      397.0096545857       24.9003169083       12.2263392810        3.4703806161        1.0418540291
      399.9948067241       24.9065654373       12.2231627976        3.3735079793        1.0127809386
      402.9799588625       24.9125728066       12.2208218536        3.2802854999        0.9848020835
      405.9651110010       24.9183432510       12.2192633342        3.1906523832        0.9578993061
      408.9502631394       24.9238812357       12.2184360992        3.1045441810        0.9320533487
      411.9354152779       24.9291914321       12.2182909549        3.0218931763        0.9072439695
      414.9205674163       24.9342786939       12.2187806217        2.9426287492        0.8834500518
      417.9057195548       24.9391480343       12.2198597014        2.8666777243        0.8606497090
      420.8908716932       24.9438046048       12.2214846414        2.7939647009        0.8388203832
      423.8760238317       24.9482536747       12.2236136973        2.7244123644        0.8179389392
      426.8611759701       24.9525006114       12.2262068940        2.6579417827        0.7979817529
      429.8463281086       24.9565508625       12.2292259861        2.5944726835        0.7789247952
      432.8314802470       24.9604099380       12.2326344157        2.5339237180        0.7607437108
      435.8166323855       24.9640833946       12.2363972705        2.4762127076        0.7434138926
      438.8017845239       24.9675768200       12.2404812405        2.4212568758        0.7269105511
      441.7869366623       24.9708958185       12.2448545741        2.3689730661        0.7112087801
      444.7720888008       24.9740459981       12.2494870334        2.3192779456        0.6962836178
      447.7572409392       24.9770329576       12.2543498495        2.2720881956        0.6821101041
      450.7423930777       24.9798622749       12.2594156776        2.2273206883        0.6686633336
      453.7275452161       24.9825394969       12.2646585515        2.1848926530        0.6559185058
      456.7126973546       24.9850701287       12.2700538381        2.1447218282        0.6438509707
      459.6978494930       24.9874596248       12.2755781929        2.1067266045        0.6324362716
      462.6830016315       24.9897133809       12.2812095143        2.0708261555        0.6216501849
      465.6681537699       24.9918367258       12.2869268995        2.0369405586        0.6114687559
      468.6533059084       24.9938349144       12.2927105996        2.0049909063        0.6018683327
      471.6384580468       24.9957131215       12.2985419761        1.9748994077        0.5928255968
      474.6236101853       24.9974764358       12.3044034573        1.9465894817        0.5843175905
