       pos                  sx                  sy                  sxb                  syb
      337.3066118167       24.5385308233        5.5313588691      -16.6111563047       -5.3724875320
      340.2917639552       24.5427734393        5.3258562119      -16.4777391866       -5.3164384363
      343.2769160936       24.5471109587        5.1252847629      -16.3400378789       -5.2595262051
      346.2620682321       24.5515382745        4.9295923941      -16.1982411605       -5.2018010068
      349.2472203705       24.5560505150        4.7387262338      -16.0525318838       -5.1433113065
      352.2323725090       24.5606430307        4.5526327340      -15.9030871526       -5.0841039212
      355.2175246474       24.5653113788        4.3712577308      -15.7500784928       -5.0242240728
      358.2026767859       24.5700513105        4.1945464994      -15.5936720152       -4.9637154372
      361.1878289243       24.5748587616        4.0224438029      -15.4340285708       -4.9026201894
      364.1729810627       24.5797298412        3.8548939370      -15.2713038984       -4.8409790474
      367.1581332012       24.5846608206        3.6918407708      -15.1056487673       -4.7788313135
      370.1432853396       24.5896481242        3.5332277832      -14.9372091107       -4.7162149115
      373.1284374781       24.5946883226        3.3789980963      -14.7661261540       -4.6531664218
      376.1135896165       24.5997781264        3.2290945059      -14.5925365370       -4.5897211163
      379.0987417550       24.6049143771        3.0834595091      -14.4165724313       -4.5259129911
      382.0838938934       24.6100940404        2.9420353301      -14.2383616510       -4.4617747963
      385.0690460319       24.6153142020        2.8047639432      -14.0580277586       -4.3973380637
      388.0541981703       24.6205720605        2.6715870948      -13.8756901665       -4.3326331343
      391.0393503088       24.6258649240        2.5424463240      -13.6914642344       -4.2676891856
      394.0245024472       24.6311902066        2.4172829806      -13.5054613618       -4.2025342553
      397.0096545857       24.6365454236        2.2960382429      -13.3177890771       -4.1371952656
      399.9948067241       24.6419281868        2.1786531335      -13.1285511234       -4.0716980454
      402.9799588625       24.6473362012        2.0650685356      -12.9378475407       -4.0060673528
      405.9651110010       24.6527672621        1.9552252076      -12.7457747452       -3.9403268957
      408.9502631394       24.6582192538        1.8490637963      -12.5524256054       -3.8744993524
      411.9354152779       24.6636901465        1.7465248506      -12.3578895167       -3.8086063918
      414.9205674163       24.6691779930        1.6475488339      -12.1622524731       -3.7426686935
      417.9057195548       24.6746809266        1.5520761363      -11.9655971372       -3.6767059659
      420.8908716932       24.6801971594        1.4600470859      -11.7680029068       -3.6107369638
      423.8760238317       24.6857249807        1.3714019604      -11.5695459817       -3.5447795075
      426.8611759701       24.6912627551        1.2860809979      -11.3702994284       -3.4788505008
      429.8463281086       24.6968089207        1.2040244064      -11.1703332429       -3.4129659487
      432.8314802470       24.7023619883        1.1251723747      -10.9697144129       -3.3471409744
      435.8166323855       24.7079205393        1.0494650809      -10.7685069780       -3.2813898361
      438.8017845239       24.7134832237        0.9768427027      -10.5667720902       -3.2157259441
      441.7869366623       24.7190487589        0.9072454257      -10.3645680724       -3.1501618777
      444.7720888008       24.7246159283        0.8406134524      -10.1619504763       -3.0847094012
      447.7572409392       24.7301835818        0.7768870103       -9.9589721401       -3.0193794817
      450.7423930777       24.7357506346        0.7160063587       -9.7556832452       -2.9541823049
      453.7275452161       24.7413160635        0.6579117974       -9.5521313727       -2.8891272918
      456.7126973546       24.7468789058        0.6025436736       -9.3483615588       -2.8242231141
      459.6978494930       24.7524382598        0.5498423892       -9.1444163503       -2.7594777109
      462.6830016315       24.7579932839        0.4997484064       -8.9403358597       -2.6948983046
      465.6681537699       24.7635431946        0.4522022546       -8.7361578196       -2.6304914174
      468.6533059084       24.7690872655        0.4071445358       -8.5319176375       -2.5662628870
      471.6384580468       24.7746248260        0.3645159296       -8.3276484492       -2.5022178813
      474.6236101853       24.7801552605        0.3242571994       -8.1233811738       -2.4383609161
      477.6087623237       24.7856780095        0.2863091960       -7.9191445671       -2.3746958712
      480.5939144621       24.7911925682        0.2506128624       -7.7149652756       -2.3112260069
      483.5790666006       24.7966984852        0.2171092377       -7.5108678905       -2.2479539825
      486.5642187390       24.8021953627        0.1857394598       -7.3068750028       -2.1848818759
      489.5493708775       24.8076828521        0.1564447692       -7.1030072575       -2.1220112052
      492.5345230159       24.8131606514        0.1291665121       -6.8992834093       -2.0593429497
      495.5196751544       24.8186285001        0.1038461416       -6.6957203757       -1.9968775725
      498.5048272928       24.8240861654        0.0804252201       -6.4923332906       -1.9346150379
      501.4899794313       24.8295334293        0.0588454213       -6.2891355535       -1.8725548210
      504.4751315697       24.8349700693        0.0390485315       -6.0861388740       -1.8106958993
      507.4602837082       24.8403958367        0.0209764523       -5.8833533098       -1.7490367210
      510.4454358466       24.8458104432        0.0045712042       -5.6807872927       -1.6875751347
      513.4305879851       24.8512135694       -0.0102250704       -5.4784476445       -1.6263082766
      516.4157401235       24.8566049192       -0.0234701037       -5.2763395833       -1.5652324192
      519.4008922620       24.8619843407       -0.0352214987       -5.0744667342       -1.5043428107
      522.3860444004       24.8673520483       -0.0455367271       -4.8728311643       -1.4436335691
      525.3711965388       24.8727089700       -0.0544731321       -4.6714334797       -1.3830977547
      528.3563486773       24.8780572303       -0.0620879442       -4.4702730418       -1.3227278113
      531.3415008157       24.8834006973       -0.0684383120       -4.2693483734       -1.2625166351
      534.3266529542       24.8887454272       -0.0735813579       -4.0686578322       -1.2024595718
      537.3118050926       24.8940997074       -0.0775742644       -3.8682005982       -1.1425575884
      540.2969572311       24.8994731675       -0.0804743890       -3.6679779449       -1.0828216523
      543.2821093695       24.9048742230       -0.0823393947       -3.4679945952       -1.0232778469
      546.2672615080       24.9103049677       -0.0832273565       -3.2682596877       -0.9639718570
      549.2524136464       24.9157526575       -0.0831967689       -3.0687864727       -0.9049700674
      552.2375657849       24.9211774130       -0.0823063305       -2.8695893476       -0.8463526685
      555.2227179233       24.9264970128       -0.0806143317       -2.6706763309       -0.7881920980
      558.2078700618       24.9315719895       -0.0781774400       -2.4720347810       -0.7305085352
      561.1930222002       24.9361980043       -0.0750486819       -2.2736085013       -0.6731942690
      564.1781743386       24.9401177615       -0.0712745448       -2.0752659274       -0.6159026234
      567.1633264771       24.9430709914       -0.0668914201       -1.8767626912       -0.5579076116
      570.1484786155       24.9449066663       -0.0619221606       -1.6777083655       -0.4979610273
      573.1336307540       24.9457834324       -0.0563744262       -1.4775572921       -0.4342073459
      576.1187828924       24.9464766825       -0.0502437330       -1.2756568891       -0.3642647658
      579.1039350309       24.9487858139       -0.0435256013       -1.0714023732       -0.2856384757
      582.0890871693       24.9559825466       -0.0362424117       -0.8645566960       -0.1966896316
      585.0742393078       24.9731521031       -0.0284912431       -0.6558083428       -0.0983927883
      588.0593914462       25.0071413505       -0.0205162592       -0.4475259696        0.0028540105
      591.0445435847       25.0656721341       -0.0128042771       -0.2451217787        0.0918430352
      594.0296957231       25.1549423970       -0.0061975366       -0.0560776302        0.1383124352
      597.0148478616       25.2751472152       -0.0018939438        0.0971248178        0.1057447381
      600.0000000000       25.3424576938       -0.0004861915        0.1600890647        0.0655812138

