       pos                  sx                  sy                  sxb                  syb
      207.5438356164       26.1397796434        2.9702357400       46.3567526405       13.4114740649
      210.5280821918       26.1371854703        2.9632048734       46.3040336067       13.4042748136
      213.5123287671       26.1339344651        2.9541883715       46.2472909464       13.3964539835
      216.4965753425       26.1300589195        2.9432012492       46.1866828199       13.3879840995
      219.4808219178       26.1255920421        2.9302666438       46.1223543936       13.3788401816
      222.4650684931       26.1205670513        2.9154150457       46.0544393993       13.3690000697
      225.4493150685       26.1150164928        2.8986835853       45.9830614781       13.3584444050
      228.4335616438       26.1089717604        2.8801153727       45.9083353564       13.3471564018
      231.4178082192       26.1024627906        2.8597588831       45.8303678894       13.3351215104
      234.4020547945       26.0955179021        2.8376673864       45.7492590028       13.3223270440
      237.3863013699       26.0881637475        2.8138984147       45.6651025526       13.3087618204
      240.3705479452       26.0804253512        2.7885132650       45.5779871203       13.2944158488
      243.3547945205       26.0723262065        2.7615765327       45.4879967515       13.2792800799
      246.3390410959       26.0638884133        2.7331556741       45.3952116477       13.2633462264
      249.3232876712       26.0551328367        2.7033205939       45.2997088137       13.2466066524
      252.3075342466       26.0460792749        2.6721432553       45.2015626639       13.2290543273
      255.2917808219       26.0367466253        2.6396973107       45.1008455875       13.2106828341
      258.2760273973       26.0271530413        2.6060577512       44.9976284740       13.1914864248
      261.2602739726       26.0173160758        2.5713005724       44.8919811971       13.1714601092
      264.2445205479       26.0072528079        2.5355024556       44.7839730582       13.1505997711
      267.2287671233       25.9969799513        2.4987404634       44.6736731868       13.1289023000
      270.2130136986       25.9865139448        2.4610917484       44.5611509001       13.1063657320
      273.1972602740       25.9758710245        2.4226332737       44.4464760190       13.0829893938
      276.1815068493       25.9650672806        2.3834415465       44.3297191421       13.0587740424
      279.1657534247       25.9541186978        2.3435923617       44.2109518777       13.0337219996
      282.1500000000       25.9430411836        2.3031605579       44.0902470338       13.0078372757
      285.1342465753       25.9318505846        2.2622197842       43.9676787671       12.9811256800
      288.1184931507       25.9205626932        2.2208422782       43.8433226924       12.9535949187
      291.1027397260       25.9091932468        2.1790986556       43.7172559519       12.9252546760
      294.0869863014       25.8977579206        2.1370577114       43.5895572473       12.8961166796
      297.0712328767       25.8862723159        2.0947862332       43.4603068344       12.8661947479
      300.0554794521       25.8747519461        2.0523488269       43.3295864823       12.8355048194
      303.0397260274       25.8632122205        2.0098077554       43.1974793973       12.8040649613
      306.0239726027       25.8516684280        1.9672227901       43.0640701141       12.7718953564
      309.0082191781       25.8401357214        1.9246510771       42.9294443536       12.7390182661
      311.9924657534       25.8286291027        1.8821470167       42.7936888503       12.7054579665
      314.9767123288       25.8171634101        1.8397621581       42.6568911478       12.6712406534
      317.9609589041       25.8057533051        1.7975451089       42.5191393658       12.6363943142
      320.9452054795       25.7944132597        1.7555414608       42.3805219377       12.6009485600
      323.9294520548       25.7831575408        1.7137937300       42.2411273211       12.5649344155
      326.9136986301       25.7720001881        1.6723413142       42.1010436807       12.5283840605
      329.8979452055       25.7609549816        1.6312204662       41.9603585474       12.4913305208
      332.8821917808       25.7500353910        1.5904642835       41.8191584539       12.4538073061
      335.8664383562       25.7392545001        1.5501027143       41.6775285506       12.4158479940
      338.8506849315       25.7286248942        1.5101625806       41.5355522060       12.3774857652
      341.8349315068       25.7181585007        1.4706676175       41.3933105969       12.3387528978
      344.8191780822       25.7078663675        1.4316385293       41.2508822968       12.2996802364
      347.8034246575       25.6977583655        1.3930930625       41.1083428732       12.2602966605
      350.7876712329       25.6878427996        1.3550460951       40.9657645063       12.2206285864
      353.7719178082       25.6781259150        1.3175097435       40.8232156475       12.1806995508
      356.7561643836       25.6686112862        1.2804934864       40.6807607398       12.1405299388
      359.7404109589       25.6592990846        1.2440043056       40.5384600245       12.1001369355
      362.7246575342       25.6501852250        1.2080468463       40.3963694672       12.0595347985
      365.7089041096       25.6412604065        1.1726235947       40.2545408378       12.0187355658
      368.6931506849       25.6325090799        1.1377350758       40.1130219827       11.9777503300
      371.6773972603       25.6239083937        1.1033800709       39.9718573334       11.9365912212
      374.6616438356       25.6154272024        1.0695558563       39.8310886907       11.8952742464
      377.6458904110       25.6070252533        1.0362584623       39.6907563239       11.8538231281
      380.6301369863       25.5986527112        1.0034829533       39.5509004153       11.8122742624
